headline,web_url,snippet,source,keywords,pub_date,byline,word_count,title
‘Kalank’ Review: A Bollywood Love Story in the Shadow of Partition,https://www.nytimes.com/2019/04/19/movies/kalank-review.html,Abhishek Varman’s maximalist melodrama delivers spectacle (some of it mind-numbing) but fails to tell a gripping story.,The New York Times,"['Movies', 'Kalank (Movie)', 'Varman, Abhishek']",2019-04-19T15:38:08+0000,By Rachel Saltz,479,Kalank
"‘Rafiki’ Review: Falling in Love, Illegally",https://www.nytimes.com/2019/04/18/movies/rafiki-review.html,The story of a romance between two Kenyan women was shown at Cannes after being banned in Kenya.,The New York Times,"['Movies', 'Kahiu, Wanuri', 'Rafiki (Movie)', 'Mugatsia, Samantha', 'Munyiva, Sheila']",2019-04-18T11:00:06+0000,By Ben Kenigsberg,251,Rafiki
"‘Diane’ Review: A Vibrant Tale of Love, Sisterhood and Decline",https://www.nytimes.com/2019/03/28/movies/diane-review.html,"Mary Kay Place is astonishing as a weary widow dealing with guilt, heartache and a diminishing circle of friends.",The New York Times,"['Movies', 'Diane (Movie)', 'Jones, Kent', 'Place, Mary Kay', 'Parsons, Estelle', 'Martin, Andrea (1947- )']",2019-03-28T11:00:01+0000,By Jeannette Catsoulis,511,Diane
‘Five Feet Apart’ Review: Ailing Teenagers Live Dangerously for Love,https://www.nytimes.com/2019/03/14/movies/five-feet-apart-review.html,Haley Lu Richardson and Cole Sprouse navigate the rules of attraction and of a hospital in this film about living with cystic fibrosis.,The New York Times,"['Movies', 'Five Feet Apart (Movie)', 'Baldoni, Justin']",2019-03-14T13:00:07+0000,By Ben Kenigsberg,258,Five Feet Apart
‘Ash Is Purest White’ Review: Love Smolders and Crime Pays in a Changing China,https://www.nytimes.com/2019/03/13/movies/ash-is-purest-white-review.html,"In Jia Zhangke’s enthralling new feature, Zhao Tao and Liao Fan portray an underworld power couple at the mercy of time and fate.",The New York Times,"['Movies', 'Jia Zhang Ke', 'Liao Fan (1974- )', 'Zhao Tao (1977- )', 'Ash Is Purest White (Movie)']",2019-03-13T15:44:46+0000,By A.O. Scott,911,Ash Is Purest White
‘Gloria Bell’ Review: Love Is in the Air for a Transcendent Julianne Moore,https://www.nytimes.com/2019/03/07/movies/gloria-bell-review.html,The Chilean writer-director Sebastián Lelio finds a perfect partner in Moore for this fantastic remake of his 2013 movie “Gloria.”,The New York Times,"['Movies', 'Gloria Bell (Movie)', 'Moore, Julianne', 'Turturro, John', 'Lelio, Sebastian']",2019-03-07T18:49:47+0000,By Manohla Dargis,991,Gloria Bell
‘Black Mother’ Review: Exploring the Roots of Life Itself,https://www.nytimes.com/2019/03/06/movies/black-mother-review.html,"In Khalik Allah’s poetic movie, the most prevalent perspective is not that of a documentarian, but of a filmmaker’s love.",The New York Times,"['Documentary Films and Programs', 'Allah, Khalik (1985- )', 'Black Mother (Movie)']",2019-03-06T18:30:16+0000,By Glenn Kenny,380,Black Mother
‘The Hole in the Ground’ Review: A Horror Film Is Suffocated by a Mother’s Love,https://www.nytimes.com/2019/02/28/movies/the-hole-in-the-ground-review.html,"Something strange is going on in the Irish countryside, and it’s not just the giant roiling pit of dirt.",The New York Times,"['Movies', 'The Hole in the Ground (Movie)', 'Cronin, Lee (Film Director)']",2019-02-28T12:00:09+0000,By Teo Bugbee,291,The Hole in the Ground
‘How to Train Your Dragon: The Hidden World’ Review: A Series Scales Up,https://www.nytimes.com/2019/02/20/movies/how-to-train-your-dragon-hidden-world-review.html,The third in this franchise concerns the exigencies that poor Hiccup must face as the leader of Berk.,The New York Times,"['Movies', 'DeBlois, Dean', 'Baruchel, Jay', 'Abraham, F Murray', 'Ferrera, America', 'How to Train Your Dragon: The Hidden World (Movie)']",2019-02-21T00:02:36+0000,By Ben Kenigsberg,531,How to Train Your Dragon: The Hidden World
‘A Tuba to Cuba’ Review: A New Orleans Jazz Band Makes a Caribbean Connection,https://www.nytimes.com/2019/02/14/movies/a-tuba-to-cuba-review.html,This joyous documentary follows the Preservation Hall Jazz Band to Cuba for a celebration of musical history and common bonds.,The New York Times,"['Documentary Films and Programs', 'A Tuba to Cuba (Movie)', 'Herrington, TG', 'Clinch, Danny', 'Jazz', 'Preservation Hall Jazz Band']",2019-02-14T12:00:01+0000,By Jeannette Catsoulis,267,A Tuba to Cuba
